               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.05674,            0.030076,            0.017473,             0.52089,             0.43642,             0.43152,             0.17926,            0.052333,            0.040661,            0.011527,            0.070021,           0.0033309,           0.0033309
                   1,            0.042238,            0.023138,           0.0073022,             0.58053,              0.4581,             0.45766,             0.18454,            0.050857,            0.041915,            0.010895,            0.039692,           0.0063344,           0.0063344
                   2,            0.038995,            0.022613,           0.0065954,             0.57512,              0.4305,             0.44445,             0.19004,            0.049429,            0.042906,            0.013015,           0.0090317,           0.0090079,           0.0090079
                   3,            0.036188,            0.022351,           0.0060024,             0.58043,             0.47805,             0.47576,             0.21251,            0.047674,            0.043604,           0.0095825,            0.008515,            0.008515,            0.008515
                   4,            0.034152,            0.021442,           0.0052759,             0.59689,             0.48487,             0.48647,             0.21752,            0.047987,            0.041211,            0.010651,            0.008515,            0.008515,            0.008515
                   5,            0.032723,            0.020758,           0.0048643,             0.64434,             0.52933,             0.54431,             0.25207,            0.045347,            0.040983,           0.0094677,             0.00802,             0.00802,             0.00802
                   6,            0.031861,            0.020352,            0.004557,             0.63377,             0.50734,             0.51388,             0.23119,            0.046852,            0.041526,           0.0098977,            0.007525,            0.007525,            0.007525
                   7,            0.031055,            0.020094,            0.004221,             0.66509,             0.53994,             0.55213,              0.2597,            0.044689,            0.041495,           0.0091432,             0.00703,             0.00703,             0.00703
                   8,            0.030301,            0.019776,           0.0039693,             0.66305,             0.52569,             0.54403,             0.25736,            0.045092,            0.041707,           0.0095732,            0.006535,            0.006535,            0.006535
                   9,            0.029865,            0.019331,            0.003864,             0.67776,             0.54718,             0.56377,             0.26331,            0.044368,            0.041039,           0.0092732,             0.00604,             0.00604,             0.00604
                  10,            0.029401,            0.018878,           0.0034999,             0.66368,             0.54132,             0.55152,             0.26388,            0.044782,            0.041377,           0.0095727,            0.005545,            0.005545,            0.005545
                  11,            0.028722,            0.018616,           0.0033813,             0.68645,             0.56653,              0.5871,             0.28351,            0.043838,            0.041043,           0.0090933,             0.00505,             0.00505,             0.00505
                  12,            0.028267,            0.018511,           0.0030366,             0.66694,             0.54638,             0.55931,              0.2692,            0.044159,            0.041707,           0.0099376,            0.004555,            0.004555,            0.004555
                  13,            0.027836,            0.018167,           0.0029739,             0.65925,             0.55588,             0.56241,             0.27076,            0.043806,            0.042131,           0.0098847,             0.00406,             0.00406,             0.00406
                  14,              0.0275,            0.017902,           0.0028035,             0.66389,             0.54381,             0.54916,             0.26508,            0.044265,            0.042864,            0.010429,            0.003565,            0.003565,            0.003565
                  15,            0.027033,            0.017664,           0.0026442,             0.68453,             0.55807,             0.57852,             0.28077,            0.043803,            0.042858,            0.010038,             0.00307,             0.00307,             0.00307
                  16,             0.02658,            0.017149,           0.0024374,             0.68614,             0.56534,             0.58237,             0.28201,              0.0439,            0.042359,            0.010182,            0.002575,            0.002575,            0.002575
                  17,            0.026224,            0.017189,           0.0024681,             0.68404,             0.55763,             0.57461,             0.27932,            0.043488,            0.043622,              0.0105,             0.00208,             0.00208,             0.00208
                  18,            0.025672,            0.016799,           0.0022886,             0.67386,             0.54654,             0.56008,             0.27523,             0.04403,            0.044216,            0.010993,            0.001585,            0.001585,            0.001585
                  19,            0.025343,            0.016475,           0.0021693,             0.67297,             0.54539,             0.56088,             0.27597,            0.043866,            0.045008,            0.011221,             0.00109,             0.00109,             0.00109
